PRODUCT_ID,Revesion level,VENDOR_ID,LOCATION,PREFERENCE/Quota,EFFECTIVE_START,EFFECTIVE_END,LEAD_DAYS_SUPPLY,CYCLE_DAYS_SUPPLY
330-0101,1B,100175,1000,60,2023.01.01,2023.12.31,25,
330-0142,2A,100175,1000,100,2023.01.01,2023.12.31,22,
330-0162,1A,100063,1000,20,2023.03.15,2023.12.31,24,
330-0162,1A,100175,1000,80,2023.03.15,2023.12.31,24,
330-0164,1B,100009,1000,100,2023.01.01,2023.12.31,24,
330-0189,2A,100175,1000,100,2023.05.10,2023.06.24,24,
330-0194,1A,100009,1000,100,2023.01.01,2023.12.31,22,
330-0216,1A,100175,1000,100,2023.01.01,2023.12.31,24,
330-0265,1A,100175,1000,100,2023.09.12,2023.12.31,24,
330-0273,1A,100009,1000,100,2023.01.01,2023.12.31,26,
330-0327,1A,100009,1000,100,2023.06.06,2023.08.05,26,
